alpha,delta,epsilon,profit,inventory_2020,herfindahl_2020
0.1,0.15,0.0,1.357606435541e11,8.007066e6,0.39017020508479033
0.1,0.15,0.1,1.321134429327e11,1.6582605e7,0.39017020712318623
0.1,0.15,0.25,1.231259316485e11,1.2773516e7,0.3901702013261452
0.1,0.15,0.5,1.0601697982449998e11,1.0188424e7,0.39017020359823484
0.1,0.16,0.0,1.357850521705e11,6.88877e6,0.3901702023753407
0.1,0.16,0.1,1.326530982314e11,1.1139647e7,0.39017020461128826
0.1,0.16,0.25,1.2111162093730002e11,5.54372e6,0.39017020355008863
0.1,0.16,0.5,1.074365771619e11,7.020878e6,0.3901702057604539
0.1,0.17,0.0,1.3516358859570001e11,7.979351e6,0.39017020457094986
0.1,0.17,0.1,1.3139500915259998e11,4.266099e6,0.3901702048591842
0.1,0.17,0.25,1.2141787671800003e11,3.253631e6,0.3901702046765717
0.1,0.17,0.5,1.0278892342029999e11,9.102376e6,0.3901702047267409
0.1,0.18,0.0,1.3490702024270001e11,6.301724e6,0.3901702026025803
0.1,0.18,0.1,1.3177335556279999e11,2.011402e6,0.3901702036685946
0.1,0.18,0.25,1.2106545518920001e11,235174.0,0.39017020722490636
0.1,0.18,0.5,1.0210478851470001e11,1.663553e6,0.39017020390050383
0.1,0.19,0.0,1.335273836371e11,7.102902e6,0.39017020328622026
0.1,0.19,0.1,1.3132712719370001e11,1.368818e6,0.39017020728316354
0.1,0.19,0.25,1.2064832255619998e11,2.379817e6,0.39017020476676867
0.1,0.19,0.5,1.01614130026e11,-0.0,0.3901702047913179
0.1,0.2,0.0,1.32824232975e11,-0.0,0.3901702063425729
0.1,0.2,0.1,1.297808483825e11,3.635856e6,0.3901702074816245
0.1,0.2,0.25,1.199825914989e11,469524.0,0.3901702024765442
0.1,0.2,0.5,9.896228057999998e10,-0.0,0.390170202632633
0.25,0.0,0.0,1.381185064241e11,-0.0,0.5017393664001494
0.25,0.0,0.1,1.335212277564e11,-0.0,0.5017393664001494
0.25,0.0,0.25,1.212816960395e11,-0.0,0.5017393664001494
0.25,0.0,0.5,1.054396162469e11,-0.0,0.5017393664001494
0.25,0.01,0.0,1.381061162445e11,-0.0,0.5022495953011773
0.25,0.01,0.1,1.3540441902480002e11,-0.0,0.5022659968402898
0.25,0.01,0.25,1.212254964694e11,-0.0,0.5023000139663747
0.25,0.01,0.5,1.006134990245e11,-0.0,0.5022552340177258
0.25,0.02,0.0,1.380936150921e11,-0.0,0.5029643827222169
0.25,0.02,0.1,1.3416720855170001e11,-0.0,0.5027447433859318
0.25,0.02,0.25,1.198881593494e11,-0.0,0.5029926428578869
0.25,0.02,0.5,9.92514973982e10,-0.0,0.5029520238601645
0.25,0.03,0.0,1.380881772024e11,-0.0,0.503251280276402
0.25,0.03,0.1,1.3407084793680002e11,-0.0,0.5037806851489716
0.25,0.03,0.25,1.23385382204e11,-0.0,0.5036918707899777
0.25,0.03,0.5,1.048596239881e11,-0.0,0.5035682959606188
0.25,0.04,0.0,1.38067788606e11,-0.0,0.5040347964817662
0.25,0.04,0.1,1.3361431331940001e11,-0.0,0.504624441453298
0.25,0.04,0.25,1.2197346354740002e11,-0.0,0.5043996065183088
0.25,0.04,0.5,9.66643051312e10,-0.0,0.5044129940361424
0.25,0.05,0.0,1.3788876215540002e11,2.109325e6,0.4949098458399973
0.25,0.05,0.1,1.3433625406049998e11,2.559829e6,0.492239702521135
0.25,0.05,0.25,1.211455348265e11,2.155251e6,0.4950011713000345
0.25,0.05,0.5,1.0055356897970001e11,1.274387e6,0.499100893831034
0.25,0.06,0.0,1.3731411979969998e11,8.930374e6,0.45753429746748076
0.25,0.06,0.1,1.330394887936e11,9.539348e6,0.45538295907605797
0.25,0.06,0.25,1.22894612918e11,8.856927e6,0.46492315052247357
0.25,0.06,0.5,9.770862642350002e10,8.073531e6,0.4721309109771372
0.25,0.07,0.0,1.369532383291e11,1.3320104e7,0.43105666204571985
0.25,0.07,0.1,1.331109724355e11,1.5175534e7,0.4245967773408829
0.25,0.07,0.25,1.20454510751e11,1.1158848e7,0.4412925625989774
0.25,0.07,0.5,9.528642155329999e10,1.4387927e7,0.43320518801160035
0.25,0.08,0.0,1.3619556660429999e11,2.2434503e7,0.4070722324323357
0.25,0.08,0.1,1.3263056153730002e11,2.3430918e7,0.3941501618502614
0.25,0.08,0.25,1.1898348922909999e11,2.4336379e7,0.3901702063631869
0.25,0.08,0.5,9.808501882729999e10,1.6476743e7,0.4122465175088766
0.25,0.09,0.0,1.360727999469e11,2.3591239e7,0.39017020524157064
0.25,0.09,0.1,1.315532915571e11,2.4411279e7,0.3901702031012604
0.25,0.09,0.25,1.187488425945e11,2.2464918e7,0.39017020223815424
0.25,0.09,0.5,1.0166283879759998e11,2.4737219e7,0.3901702012350795
0.25,0.1,0.0,1.359226289064e11,2.5424107e7,0.3901702052197932
0.25,0.1,0.1,1.3139159354640001e11,2.1573911e7,0.3901702037752226
0.25,0.1,0.25,1.173676647486e11,2.365202e7,0.3901702051607744
0.25,0.1,0.5,9.6011319103e10,2.4697566e7,0.3901702068731958
0.25,0.11,0.0,1.3631229770670001e11,1.9650315e7,0.3901702065230705
0.25,0.11,0.1,1.31964273423e11,2.2963359e7,0.39017020224866816
0.25,0.11,0.25,1.203349063962e11,1.9736451e7,0.390170203623333
0.25,0.11,0.5,9.790360980129999e10,1.7998879e7,0.3901702055124852
0.25,0.12,0.0,1.3618064618650003e11,2.019496e7,0.3901702020719424
0.25,0.12,0.1,1.3243719369229999e11,1.4935623e7,0.3901702028958872
0.25,0.12,0.25,1.1909062143480002e11,1.5780625e7,0.3901702051511082
0.25,0.12,0.5,9.907264556259999e10,1.669481e7,0.39017020344510583
0.25,0.13,0.0,1.3630508811740002e11,1.4829548e7,0.3901702031010583
0.25,0.13,0.1,1.3243743975780002e11,1.31544e7,0.3901702059476722
0.25,0.13,0.25,1.1999814627939996e11,1.3766605e7,0.39017020428632265
0.25,0.13,0.5,9.901530914359999e10,1.5637976e7,0.39017020422066895
0.25,0.14,0.0,1.367435087329e11,9.954875e6,0.3901702052177919
0.25,0.14,0.1,1.3341664772400002e11,1.1326016e7,0.39017020246784617
0.25,0.14,0.25,1.2130445148599997e11,1.0401783e7,0.39017020655027995
0.25,0.14,0.5,9.53495615434e10,1.2987006e7,0.390170206102436
0.25,0.15,0.0,1.3476710873120001e11,2.303953e7,0.3901702047530035
0.25,0.15,0.1,1.3068880278e11,1.2594585e7,0.3901702055029594
0.25,0.15,0.25,1.2013882870550002e11,7.82269e6,0.3901702018851137
0.25,0.15,0.5,9.344351559759999e10,1.7148646e7,0.39017020337392994
0.25,0.16,0.0,1.3507480369229999e11,6.656857e6,0.39017020535014224
0.25,0.16,0.1,1.3235907631290001e11,6.121203e6,0.390170203642416
0.25,0.16,0.25,1.198798937941e11,5.348576e6,0.3901702044476177
0.25,0.16,0.5,9.852115620010002e10,6.87396e6,0.39017020437665717
0.25,0.17,0.0,1.3485640289220001e11,6.408327e6,0.39017020496967725
0.25,0.17,0.1,1.3065788991630002e11,8.80797e6,0.39017020583254974
0.25,0.17,0.25,1.173140460915e11,5.557129e6,0.390170207769842
0.25,0.17,0.5,9.68257664718e10,3.980942e6,0.39017020369556843
0.25,0.18,0.0,1.3410300427620001e11,4.858721e6,0.3901702051554502
0.25,0.18,0.1,1.290801020699e11,7.07653e6,0.39017020429455807
0.25,0.18,0.25,1.1698521389860002e11,2.51516e6,0.39017020184012663
0.25,0.18,0.5,9.74277468171e10,2.562168e6,0.3901702058715504
0.25,0.19,0.0,1.32843648679e11,-0.0,0.3901702015752942
0.25,0.19,0.1,1.28658049556e11,1.608371e6,0.3901702082705615
0.25,0.19,0.25,1.1602632226579999e11,-0.0,0.39017020395745206
0.25,0.19,0.5,9.80562821258e10,1.2768112e7,0.3901702063228384
0.25,0.2,0.0,1.319841847745e11,-0.0,0.3901702065800062
0.25,0.2,0.1,1.2764894261250003e11,3.377331e6,0.39017020560098364
0.25,0.2,0.25,1.161346444139e11,-0.0,0.3901702021271568
0.25,0.2,0.5,9.323812990640002e10,-0.0,0.39017020507471956
0.5,0.0,0.0,1.381185064241e11,-0.0,0.5017393664001494
0.5,0.0,0.1,1.322376554201e11,-0.0,0.5017393664001494
0.5,0.0,0.25,1.159421884592e11,-0.0,0.5017393664001494
0.5,0.0,0.5,9.58371660163e10,-0.0,0.5017393664001494
0.5,0.01,0.0,1.381079029341e11,-0.0,0.5023327593623897
0.5,0.01,0.1,1.329153952094e11,-0.0,0.5022985420695306
0.5,0.01,0.25,1.149528713011e11,-0.0,0.5023384233500962
0.5,0.01,0.5,9.017179002869998e10,-0.0,0.5022604125706835
0.5,0.02,0.0,1.3809546265440002e11,-0.0,0.5029774732975107
0.5,0.02,0.1,1.3288823428440001e11,-0.0,0.5028481603786886
0.5,0.02,0.25,1.216878167384e11,-0.0,0.5030243431452414
